LoanProgID,ProjectCounty,ProjectState,ProgramType,ProgramDesc,JobsSupported,MethodID,SBABranchID
LP126,DOUGHERTY,GA,7A,Patriot Express,30,PATRIOT EX,65
LP127,WAUKESHA,WI,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,103
LP128,LEELANAU,MI,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,97
LP129,NEWAYGO,MI,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,104
LP130,BROWN,WI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,105
LP131,HARRIS,TX,7A,Community Express,10,COMM EXPRS,70
LP132,CHARLES,MD,7A,Patriot Express,3,PATRIOT EX,106
LP133,KENT,RI,7A,Patriot Express,2,PATRIOT EX,107
LP134,DALLAS,TX,7A,Guaranty,52,PLP,108
LP135,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),38,EXPRES EXP,109
LP136,SAN DIEGO,CA,7A,Community Express,4,COMM EXPRS,110
LP137,LEE,SC,7A,Patriot Express,3,PATRIOT EX,111
LP138,MIAMI-DADE,FL,7A,Community Express,4,COMM EXPRS,112
LP139,SAINT LOUIS CITY,MO,7A,Community Express,3,COMM EXPRS,113
LP140,MOHAVE,AZ,7A,Community Express,1,COMM EXPRS,92
LP141,BEAVER,UT,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,54
LP142,LANCASTER,NE,7A,Guaranty,19,PLP,114
LP143,JEFFERSON,CO,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,115
LP144,SMITH,TX,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,116
LP145,PIERCE,WA,7A,Guaranty,11,PLP,117
LP146,YAUCO,PR,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,18
LP147,HANCOCK,ME,7A,Guaranty,4,PLP,55
LP148,SAN FRANCISCO,CA,7A,Guaranty,10,OTH 7A,10
LP149,ALAMEDA,CA,7A,Community Express,5,COMM EXPRS,118
LP150,PIERCE,WI,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,119
LP151,WASHINGTON,AR,7A,Guaranty,2,OTH 7A,120
LP152,FAIRFIELD,OH,7A,Guaranty,15,PLP,121
LP153,ONEIDA,NY,7A,Guaranty,2,PLP,122
LP154,LAKE,MT,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,123
LP155,HONOLULU,HI,7A,Patriot Express,4,PATRIOT EX,124
LP156,TRAVIS,TX,7A,Community Express,6,COMM EXPRS,33
LP157,CALCASIEU,LA,7A,Patriot Express,2,PATRIOT EX,125
LP158,ROCKDALE,GA,7A,Community Express,4,COMM EXPRS,17
LP159,BUCHANAN,IA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,126
LP160,MARIN,CA,7A,Community Express,2,COMM EXPRS,127
LP161,FOND DU LAC,WI,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,26
LP162,COLLIN,TX,7A,Guaranty,10,PLP,46
LP163,LAKE,IN,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,128
LP164,BERNALILLO,NM,7A,Patriot Express,1,PATRIOT EX,129
LP165,BERGEN,NJ,7A,Community Express,1,COMM EXPRS,130
LP166,SALT LAKE,UT,7A,Guaranty,10,PLP,54
LP167,VALENCIA,NM,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,95
LP168,SUFFOLK,MA,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,131
LP169,SUFFOLK,MA,7A,Guaranty,12,PLP,131
LP170,PIMA,AZ,7A,Community Express,10,COMM EXPRS,132
LP171,SIMPSON,MS,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,133
LP172,ANNE ARUNDEL,MD,7A,Community Express,14,COMM EXPRS,60
LP173,SAN MATEO,CA,7A,Guaranty,5,PLP,134
LP174,HARRISONBURG CITY,VA,7A,Patriot Express,1,PATRIOT EX,135
LP175,MONROE,NY,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,31
LP176,JUAB,UT,7A,FA$TRK (Small Loan Express),22,SBA EXPRES,136
LP177,DALE,AL,7A,Community Express,11,COMM EXPRS,40
LP178,OKALOOSA,FL,7A,Patriot Express,5,PATRIOT EX,88
LP179,TARRANT,TX,7A,Guaranty,9,OTH 7A,137
LP180,TAZEWELL,IL,7A,Community Express,4,COMM EXPRS,138
LP181,GRAYS HARBOR,WA,7A,Patriot Express,1,PATRIOT EX,83
LP182,TRAVIS,TX,7A,Guaranty,3,PLP,33
LP183,CACHE,UT,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,54
LP184,WEBER,UT,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,36
LP185,BUTTE,CA,7A,Guaranty,52,OTH 7A,139
LP186,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,140
LP187,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),15,SBA EXPRES,54
LP188,CARROLL,MD,7A,Guaranty,10,PLP,141
LP189,UNION,NJ,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,142
LP190,DAKOTA,MN,7A,Guaranty,7,PLP,143
LP191,SAN LUIS OBISPO,CA,7A,Guaranty,0,PLP,57
LP192,LEAKE,MS,7A,Gulf Opportunity,2,GO LOANS,99
LP193,CASS,ND,7A,Rural Lender Advantage,1,RLA,144
LP194,MIDDLESEX,MA,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,21
LP195,CALHOUN,MI,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,145
LP196,JACKSON,MO,7A,FA$TRK (Small Loan Express),30,SBA EXPRES,146
LP197,KENT,MI,7A,Guaranty,12,OTH 7A,147
LP198,FAIRFIELD,CT,7A,FA$TRK (Small Loan Express),11,SBA EXPRES,148
LP199,COOK,IL,7A,Guaranty,7,PLP,149
LP200,DENTON,TX,7A,Guaranty,0,PLP,150
LP201,NORFOLK CITY,VA,7A,Patriot Express,28,PATRIOT EX,151
LP202,YAMHILL,OR,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,152
LP203,LOS ANGELES,CA,7A,Revolving Line of Credit Exports - Sec. 7(a) (14),2,EWCP,153
LP204,DALLAS,TX,7A,FA$TRK (Small Loan Express),15,SBA EXPRES,154
LP205,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),25,SBA EXPRES,140
LP206,JUNIATA,PA,7A,Guaranty,6,PLP,155
LP207,NEW YORK,NY,7A,Guaranty,6,PLP,78
LP208,OXFORD,ME,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,55
LP209,UINTAH,UT,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,36
LP210,DANE,WI,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,156
LP211,CABELL,WV,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,157
LP212,SARATOGA,NY,7A,FA$TRK (Small Loan Express),42,SBA EXPRES,158
LP213,SACRAMENTO,CA,7A,Guaranty,7,PLP,2
LP214,LOS ANGELES,CA,7A,Guaranty,15,PLP,159
LP215,ONEIDA,NY,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,122
LP216,POLK,IA,7A,Guaranty,13,OTH 7A,160
LP217,PAYETTE,ID,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,161
LP218,HANCOCK,IN,7A,Guaranty,8,PLP,162
LP219,GILMER,GA,7A,Guaranty,2,OTH 7A,163
LP220,MINNEHAHA,SD,7A,Rural Lender Advantage,3,RLA,164
LP221,COOK,IL,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,149
LP222,ERIE,NY,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,102
LP223,FAYETTE,GA,7A,Community Express,1,COMM EXPRS,96
LP224,ROSCOMMON,MI,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,165
LP225,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,136
LP226,HARRIS,TX,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,70
LP227,HENRICO,VA,7A,Guaranty,44,PLP,166
LP228,BROWARD,FL,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,9
LP229,WASHINGTON,PA,7A,Guaranty,8,PLP,167
LP230,LAWRENCE,PA,7A,Guaranty,18,PLP,168
LP231,WOOD,WI,7A,Rural Lender Advantage,6,RLA,119
LP232,LYON,MN,7A,Guaranty,2,OTH 7A,8
LP233,NEW YORK,NY,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,169
LP234,OAKLAND,MI,7A,Patriot Express,75,PATRIOT EX,170
LP235,SKAMANIA,WA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,171
LP236,MCHENRY,IL,7A,FA$TRK (Small Loan Express),23,SBA EXPRES,172
LP237,LEE,FL,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,49
LP238,TOOELE,UT,7A,Guaranty,9,PLP,54
LP239,WASHINGTON,RI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,107
LP240,OLMSTED,MN,7A,Guaranty,2,PLP,85
LP241,CONTRA COSTA,CA,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,173
LP242,OCEANA,MI,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,104
LP243,GUILFORD,NC,7A,Guaranty,1,OTH 7A,174
LP244,BRISTOL,MA,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,175
LP245,BROWARD,FL,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,9
LP246,BROWARD,FL,7A,Guaranty,4,PLP,9
LP247,EFFINGHAM,IL,7A,Guaranty,4,OTH 7A,27
LP248,MONROE,NY,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,31
LP249,SUFFOLK,MA,7A,Patriot Express,1,PATRIOT EX,176
LP250,LEE,FL,7A,Guaranty,12,PLP,49
LP251,STEARNS,MN,7A,Guaranty,15,PLP,41
LP252,TIPPECANOE,IN,7A,Guaranty,2,PLP,177
LP253,TARRANT,TX,7A,Guaranty,21,OTH 7A,154
LP254,CHITTENDEN,VT,7A,Guaranty,4,PLP,37
LP255,SUFFOLK,MA,7A,Patriot Express,1,PATRIOT EX,176
LP256,BENTON,WA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,178
LP257,CUMBERLAND,NC,7A,Patriot Express,6,PATRIOT EX,179
LP258,PLYMOUTH,MA,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,90
LP259,HAMILTON,OH,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,180
LP260,WAUKESHA,WI,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,103
LP261,FRANKLIN,PA,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,181
LP262,ORANGE,CA,7A,Guaranty,27,PLP,182
LP263,SAN LUIS OBISPO,CA,7A,Guaranty,2,PLP,57
LP264,COOK,IL,7A,Community Express,7,COMM EXPRS,183
LP265,LOS ANGELES,CA,7A,Guaranty,4,PLP,184
LP266,SOCORRO,NM,7A,Guaranty,38,PLP,95
LP267,DAVIS,UT,7A,FA$TRK (Small Loan Express),30,SBA EXPRES,36
LP268,LAKE,IL,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,172
LP269,WINCHESTER CITY,VA,7A,Patriot Express,5,PATRIOT EX,185
LP270,UNION,NJ,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,186
LP271,LOS ANGELES,CA,7A,Guaranty,160,PLP,109
LP272,YORK,PA,7A,Guaranty,0,PLP,187
LP273,WORCESTER,MA,7A,FA$TRK (Small Loan Express),14,SBA EXPRES,188
LP274,HARTFORD,CT,7A,FA$TRK (Small Loan Express),36,SBA EXPRES,189
LP275,SAN DIEGO,CA,7A,Guaranty,74,PLP,110
LP276,LOS ANGELES,CA,7A,Guaranty,4,PLP,190
LP277,POWHATAN,VA,7A,Guaranty,11,PLP,191
LP278,SUMMIT,OH,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,192
LP279,CAMERON,TX,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,193
LP280,ADA,ID,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,82
LP281,LAKE,IN,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,128
LP282,SUMNER,TN,7A,Guaranty,3,PLP,194
LP283,SAN MIGUEL,NM,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,195
LP284,OAKLAND,MI,7A,Guaranty,12,PLP,101
LP285,MARICOPA,AZ,7A,Guaranty,9,OTH 7A,196
LP286,KINGS,NY,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,197
LP287,CHITTENDEN,VT,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,37
LP288,FORD,KS,7A,Guaranty,7,OTH 7A,198
LP289,DENVER,CO,7A,Patriot Express,2,PATRIOT EX,1
LP290,WASHTENAW,MI,7A,FA$TRK (Small Loan Express),27,SBA EXPRES,199
LP291,JAYUYA,PR,7A,FA$TRK (Small Loan Express),24,SBA EXPRES,18
LP292,ISABELLA,MI,7A,Guaranty,3,PLP,165
LP293,BOONE,IN,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,177
LP294,ISABELLA,MI,7A,Guaranty,3,PLP,165
LP295,CUYAHOGA,OH,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,200
LP296,HENDRICKS,IN,7A,Guaranty,6,PLP,177
LP297,CUYAHOGA,OH,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,200
LP298,MONROE,NY,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,31
LP299,LA PLATA,CO,7A,Guaranty,15,PLP,201
LP300,CAGUAS,PR,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,18
LP301,MULTNOMAH,OR,7A,FA$TRK (Small Loan Express),19,SBA EXPRES,171
LP302,MERRIMACK,NH,7A,Guaranty,12,PLP,202
LP303,DAVIS,UT,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,54
LP304,STARK,OH,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,203
LP305,WAKE,NC,7A,Guaranty,3,PLP,67
LP306,GWINNETT,GA,7A,Guaranty,4,PLP,17
LP307,LAKE,IL,7A,Community Express,20,COMM EXPRS,172
LP308,ORANGE,CA,7A,Community Express,3,COMM EXPRS,204
LP309,MAUI,HI,7A,Guaranty,13,OTH 7A,205
LP310,ALLEN,IN,7A,Guaranty,115,OTH 7A,5
LP311,CLARK,NV,7A,Community Express,1,COMM EXPRS,206
LP312,BARNSTABLE,MA,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,90
LP313,BEXAR,TX,7A,Guaranty,4,OTH 7A,207
LP314,JEFFERSON,LA,7A,Guaranty,28,PLP,208
LP315,POCAHONTAS,WV,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,157
LP316,HONOLULU,HI,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,124
LP317,THURSTON,WA,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,209
LP318,HONOLULU,HI,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,124
LP319,WESTMORELAND,PA,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,210
LP320,SAN MATEO,CA,7A,Community Express,1,COMM EXPRS,134
LP321,TRAVIS,TX,7A,Guaranty,3,PLP,211
LP322,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,54
LP323,SAN LUIS OBISPO,CA,7A,Guaranty,20,PLP,57
LP324,YOLO,CA,7A,Guaranty,0,PLP,3
LP325,MARIN,CA,7A,Guaranty,30,OTH 7A,127
LP326,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,153
LP327,CANYON,ID,7A,Guaranty,8,PLP,161
LP328,SPOKANE,WA,7A,Guaranty,20,OTH 7A,212
LP329,CLAYTON,GA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,213
LP330,JEFFERSON,WI,7A,FA$TRK (Small Loan Express),11,SBA EXPRES,103
LP331,HARRIS,TX,7A,Guaranty,13,OTH 7A,214
LP332,HONOLULU,HI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,205
LP333,COOK,IL,7A,Community Express,8,COMM EXPRS,215
LP334,PRINCE WILLIAM,VA,7A,Guaranty,2,PLP,24
LP335,FREDERICK,MD,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,216
LP336,DOUGLAS,NE,7A,Guaranty,22,OTH 7A,217
LP337,BROOMFIELD,CO,7A,FA$TRK (Small Loan Express),14,SBA EXPRES,56
LP338,LONOKE,AR,7A,Guaranty,29,OTH 7A,19
LP339,ARAPAHOE,CO,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,218
LP340,FREDERICK,MD,7A,Guaranty,3,PLP,216
LP341,WAKE,NC,7A,Community Express,14,COMM EXPRS,91
LP342,CONTRA COSTA,CA,7A,Patriot Express,5,PATRIOT EX,219
LP343,MADISON,TN,7A,Community Express,1,COMM EXPRS,220
LP344,VENTURA,CA,7A,Guaranty,19,PLP,221
LP345,ORANGE,FL,7A,Community Express,3,COMM EXPRS,93
LP346,SCOTLAND,NC,7A,Patriot Express,5,PATRIOT EX,222
LP347,SUMMIT,OH,7A,Rural Lender Advantage,5,RLA,192
LP348,HONOLULU,HI,7A,Community Express,5,COMM EXPRS,124
LP349,LYON,MN,7A,Community Express,1,COMM EXPRS,8
LP350,OXFORD,ME,7A,Guaranty,7,CLP,55
LP351,HENNEPIN,MN,7A,Guaranty,30,OTH 7A,38
LP352,MACOMB,MI,7A,Community Express,6,COMM EXPRS,101
LP353,LOS ANGELES,CA,7A,Guaranty,35,CLP,109
LP354,CASS,ND,7A,Guaranty,5,PLP,144
LP355,LICKING,OH,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,223
LP356,ALAMEDA,CA,7A,Community Express,1,COMM EXPRS,224
LP357,HARTFORD,CT,7A,Guaranty,3,OTH 7A,189
LP358,OXFORD,ME,7A,Guaranty,8,CLP,55
LP359,MARION,IN,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,225
LP360,EL PASO,TX,7A,Community Express,6,COMM EXPRS,226
LP361,HENNEPIN,MN,7A,Guaranty,20,CLP,38
LP362,WASHOE,NV,7A,Guaranty,22,PLP,227
LP363,OWYHEE,ID,7A,FA$TRK (Small Loan Express),45,SBA EXPRES,161
LP364,BALTIMORE CITY,MD,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,60
