LoanDetailID,NAICSCode,NAICSDescription,LoanStatus,RevolverStatus,AsOfDate,ApprovalDate,ApprovalFiscalYear
42,445110,Supermarkets and Other Grocery (except Convenience) Stores,PIF,0,30/9/2020,10/1/2009,2010
43,722213,Snack and Nonalcoholic Beverage Bars,PIF,0,30/9/2020,10/1/2009,2010
44,323113,Commercial Screen Printing,PIF,0,30/9/2020,10/1/2009,2010
45,531390,Other Activities Related to Real Estate,PIF,0,30/9/2020,10/1/2009,2010
46,561740,Carpet and Upholstery Cleaning Services,PIF,0,30/9/2020,10/1/2009,2010
47,238210,Electrical Contractors,PIF,0,30/9/2020,10/1/2009,2010
48,624410,Child Day Care Services,CANCLD,0,30/9/2020,10/1/2009,2010
49,722211,Limited-Service Restaurants,CHGOFF,0,30/9/2020,10/1/2009,2010
50,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
51,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
52,621340,Offices of Physical  Occupational and Speech Therapists  and Audiologi,EXEMPT,0,30/9/2020,10/1/2009,2010
53,811121,Automotive Body  Paint  and Interior Repair and Maintenance,PIF,0,30/9/2020,10/1/2009,2010
54,621511,Medical Laboratories,PIF,0,30/9/2020,10/1/2009,2010
55,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
56,621399,Offices of All Other Miscellaneous Health Practitioners,PIF,1,30/9/2020,10/1/2009,2010
57,448120,Women's Clothing Stores,PIF,0,30/9/2020,10/1/2009,2010
58,621399,Offices of All Other Miscellaneous Health Practitioners,PIF,0,30/9/2020,10/1/2009,2010
59,562111,Solid Waste Collection,PIF,0,30/9/2020,10/1/2009,2010
60,722110,Full-Service Restaurants,PIF,1,30/9/2020,10/1/2009,2010
61,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,PIF,0,30/9/2020,10/1/2009,2010
62,713990,All Other Amusement and Recreation Industries,PIF,1,30/9/2020,10/1/2009,2010
63,541219,Other Accounting Services,CANCLD,1,30/9/2020,10/1/2009,2010
64,326199,All Other Plastics Product Manufacturing,CHGOFF,0,30/9/2020,10/1/2009,2010
65,621111,Offices of Physicians (except Mental Health Specialists),PIF,1,30/9/2020,10/1/2009,2010
66,541940,Veterinary Services,PIF,0,30/9/2020,10/1/2009,2010
67,713990,All Other Amusement and Recreation Industries,CANCLD,0,30/9/2020,10/1/2009,2010
68,812199,Other Personal Care Services,PIF,0,30/9/2020,10/1/2009,2010
69,339950,Sign Manufacturing,CANCLD,0,30/9/2020,10/1/2009,2010
70,721110,Hotels (except Casino Hotels) and Motels,EXEMPT,0,30/9/2020,10/1/2009,2010
71,722110,Full-Service Restaurants,PIF,1,30/9/2020,10/1/2009,2010
72,621310,Offices of Chiropractors,PIF,0,30/9/2020,10/1/2009,2010
73,447110,Gasoline Stations with Convenience Stores,PIF,0,30/9/2020,10/1/2009,2010
74,721214,Recreational and Vacation Camps (except Campgrounds),PIF,0,30/9/2020,10/1/2009,2010
75,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,PIF,0,30/9/2020,10/1/2009,2010
76,541810,Advertising Agencies,PIF,0,30/9/2020,10/1/2009,2010
77,541110,Offices of Lawyers,PIF,1,30/9/2020,10/1/2009,2010
78,811212,Computer and Office Machine Repair and Maintenance,CHGOFF,0,30/9/2020,10/1/2009,2010
79,238220,Plumbing  Heating  and Air-Conditioning Contractors,PIF,1,30/9/2020,10/1/2009,2010
80,445110,Supermarkets and Other Grocery (except Convenience) Stores,PIF,0,30/9/2020,10/1/2009,2010
81,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,PIF,0,30/9/2020,10/1/2009,2010
82,453110,Florists,PIF,0,30/9/2020,10/1/2009,2010
83,813910,Business Associations,PIF,1,30/9/2020,10/1/2009,2010
84,811111,General Automotive Repair,PIF,0,30/9/2020,10/1/2009,2010
85,541820,Public Relations Agencies,PIF,0,30/9/2020,10/1/2009,2010
86,213112,Support Activities for Oil and Gas Operations,PIF,1,30/9/2020,10/1/2009,2010
87,561439,Other Business Service Centers (including Copy Shops),PIF,0,30/9/2020,10/1/2009,2010
88,541310,Architectural Services,CANCLD,1,30/9/2020,10/1/2009,2010
89,713990,All Other Amusement and Recreation Industries,PIF,0,30/9/2020,10/1/2009,2010
90,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
91,333518,Other Metalworking Machinery Manufacturing,PIF,0,30/9/2020,10/1/2009,2010
92,238140,Masonry Contractors,PIF,0,30/9/2020,10/1/2009,2010
93,541330,Engineering Services,PIF,1,30/9/2020,10/1/2009,2010
94,523920,Portfolio Management,PIF,0,30/9/2020,10/1/2009,2010
95,321999,All Other Miscellaneous Wood Product Manufacturing,PIF,0,30/9/2020,10/1/2009,2010
96,111421,Nursery and Tree Production,PIF,0,30/9/2020,10/1/2009,2010
97,238910,Site Preparation Contractors,PIF,0,30/9/2020,10/1/2009,2010
98,332710,Machine Shops,PIF,0,30/9/2020,10/1/2009,2010
99,541611,Administrative Management and General Management Consulting Services,PIF,0,30/9/2020,10/1/2009,2010
100,447110,Gasoline Stations with Convenience Stores,PIF,0,30/9/2020,10/1/2009,2010
101,454111,Electronic Shopping,PIF,0,30/9/2020,10/1/2009,2010
102,238990,All Other Specialty Trade Contractors,PIF,0,30/9/2020,10/1/2009,2010
103,541219,Other Accounting Services,PIF,1,30/9/2020,10/1/2009,2010
104,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
105,541611,Administrative Management and General Management Consulting Services,CANCLD,0,30/9/2020,10/1/2009,2010
106,238350,Finish Carpentry Contractors,PIF,1,30/9/2020,10/1/2009,2010
107,541990,All Other Professional  Scientific  and Technical Services,PIF,1,30/9/2020,10/1/2009,2010
108,113310,Logging,PIF,0,30/9/2020,10/1/2009,2010
109,811122,Automotive Glass Replacement Shops,PIF,1,30/9/2020,10/1/2009,2010
110,541940,Veterinary Services,PIF,0,30/9/2020,10/1/2009,2010
111,484121,General Freight Trucking  Long Distance  Truckload,PIF,0,30/9/2020,10/1/2009,2010
112,524210,Insurance Agencies and Brokerages,CANCLD,0,30/9/2020,10/1/2009,2010
113,721110,Hotels (except Casino Hotels) and Motels,PIF,0,30/9/2020,10/1/2009,2010
114,812220,Cemeteries and Crematories,PIF,0,30/9/2020,10/1/2009,2010
115,339932,Game  Toy  and Children's Vehicle Manufacturing,PIF,0,30/9/2020,10/1/2009,2010
116,112511,Finfish Farming and Fish Hatcheries,EXEMPT,0,30/9/2020,10/1/2009,2010
117,624229,Other Community Housing Services,PIF,0,30/9/2020,10/1/2009,2010
118,423450,Medical  Dental  and Hospital Equipment and Supplies Merchant Wholesal,PIF,0,30/9/2020,10/1/2009,2010
119,624410,Child Day Care Services,PIF,0,30/9/2020,10/1/2009,2010
120,541940,Veterinary Services,PIF,0,30/9/2020,10/1/2009,2010
121,423830,Industrial Machinery and Equipment Merchant Wholesalers,PIF,0,30/9/2020,10/1/2009,2010
122,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),PIF,1,30/9/2020,10/1/2009,2010
123,541990,All Other Professional  Scientific  and Technical Services,PIF,0,30/9/2020,10/1/2009,2010
124,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
125,238210,Electrical Contractors,PIF,1,30/9/2020,10/1/2009,2010
126,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/1/2009,2010
127,332710,Machine Shops,PIF,1,30/9/2020,10/1/2009,2010
128,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),PIF,1,30/9/2020,10/1/2009,2010
129,488410,Motor Vehicle Towing,PIF,1,30/9/2020,10/1/2009,2010
130,523930,Investment Advice,CHGOFF,0,30/9/2020,10/1/2009,2010
131,722212,Cafeterias,PIF,0,30/9/2020,10/1/2009,2010
132,238320,Painting and Wall Covering Contractors,PIF,0,30/9/2020,10/2/2009,2010
133,454390,Other Direct Selling Establishments,EXEMPT,0,30/9/2020,10/2/2009,2010
134,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
135,423930,Recyclable Material Merchant Wholesalers,PIF,0,30/9/2020,10/2/2009,2010
136,541110,Offices of Lawyers,PIF,0,30/9/2020,10/2/2009,2010
137,611620,Sports and Recreation Instruction,PIF,0,30/9/2020,10/2/2009,2010
138,541890,Other Services Related to Advertising,PIF,0,30/9/2020,10/2/2009,2010
139,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
140,812112,Beauty Salons,CHGOFF,0,30/9/2020,10/2/2009,2010
141,524210,Insurance Agencies and Brokerages,PIF,1,30/9/2020,10/2/2009,2010
142,443120,Computer and Software Stores,PIF,0,30/9/2020,10/2/2009,2010
143,722110,Full-Service Restaurants,PIF,1,30/9/2020,10/2/2009,2010
144,448150,Clothing Accessories Stores,PIF,0,30/9/2020,10/2/2009,2010
145,621111,Offices of Physicians (except Mental Health Specialists),PIF,0,30/9/2020,10/2/2009,2010
146,447110,Gasoline Stations with Convenience Stores,PIF,1,30/9/2020,10/2/2009,2010
147,562991,Septic Tank and Related Services,PIF,0,30/9/2020,10/2/2009,2010
148,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
149,722110,Full-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
150,238210,Electrical Contractors,PIF,0,30/9/2020,10/2/2009,2010
151,112320,Broilers and Other Meat Type,PIF,0,30/9/2020,10/2/2009,2010
152,453910,Pet and Pet Supplies Stores,PIF,0,30/9/2020,10/2/2009,2010
153,236117,New Housing Operative Builders,EXEMPT,0,30/9/2020,10/2/2009,2010
154,236220,Commercial and Institutional Building Construction,CANCLD,1,30/9/2020,10/2/2009,2010
155,541690,Other Scientific and Technical Consulting Services,PIF,0,30/9/2020,10/2/2009,2010
156,562910,Remediation Services,PIF,0,30/9/2020,10/2/2009,2010
157,453220,Gift  Novelty  and Souvenir Stores,PIF,0,30/9/2020,10/2/2009,2010
158,541618,Other Management Consulting Services,CHGOFF,0,30/9/2020,10/2/2009,2010
159,524210,Insurance Agencies and Brokerages,PIF,0,30/9/2020,10/2/2009,2010
160,621310,Offices of Chiropractors,PIF,0,30/9/2020,10/2/2009,2010
161,811111,General Automotive Repair,PIF,1,30/9/2020,10/2/2009,2010
162,722110,Full-Service Restaurants,CHGOFF,0,30/9/2020,10/2/2009,2010
163,488410,Motor Vehicle Towing,PIF,0,30/9/2020,10/2/2009,2010
164,624190,Other Individual and Family Services,PIF,1,30/9/2020,10/2/2009,2010
165,621610,Home Health Care Services,PIF,0,30/9/2020,10/2/2009,2010
166,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
167,484210,Used Household and Office Goods Moving,PIF,1,30/9/2020,10/2/2009,2010
168,562998,All Other Miscellaneous Waste Management Services,CANCLD,1,30/9/2020,10/2/2009,2010
169,562998,All Other Miscellaneous Waste Management Services,PIF,0,30/9/2020,10/2/2009,2010
170,337122,Nonupholstered Wood Household Furniture Manufacturing,PIF,0,30/9/2020,10/2/2009,2010
171,424460,Fish and Seafood Merchant Wholesalers,CANCLD,0,30/9/2020,10/2/2009,2010
172,446199,All Other Health and Personal Care Stores,PIF,0,30/9/2020,10/2/2009,2010
173,212321,Construction Sand and Gravel Mining,CANCLD,0,30/9/2020,10/2/2009,2010
174,621310,Offices of Chiropractors,PIF,1,30/9/2020,10/2/2009,2010
175,621112,Offices of Physicians  Mental Health Specialists,PIF,0,30/9/2020,10/2/2009,2010
176,332618,Other Fabricated Wire Product Manufacturing,PIF,1,30/9/2020,10/2/2009,2010
177,621498,All Other Outpatient Care Centers,PIF,0,30/9/2020,10/2/2009,2010
178,454111,Electronic Shopping,PIF,0,30/9/2020,10/2/2009,2010
179,519190,All Other Information Services,PIF,0,30/9/2020,10/2/2009,2010
180,453220,Gift  Novelty  and Souvenir Stores,PIF,0,30/9/2020,10/2/2009,2010
181,454112,Electronic Auctions,PIF,0,30/9/2020,10/2/2009,2010
182,621310,Offices of Chiropractors,PIF,0,30/9/2020,10/2/2009,2010
183,333298,All Other Industrial Machinery Manufacturing,PIF,1,30/9/2020,10/2/2009,2010
184,441310,Automotive Parts and Accessories Stores,PIF,0,30/9/2020,10/2/2009,2010
185,311423,Dried and Dehydrated Food Manufacturing,PIF,0,30/9/2020,10/2/2009,2010
186,236118,Residential Remodelers,PIF,1,30/9/2020,10/2/2009,2010
187,722211,Limited-Service Restaurants,PIF,1,30/9/2020,10/2/2009,2010
188,621999,All Other Miscellaneous Ambulatory Health Care Services,PIF,0,30/9/2020,10/2/2009,2010
189,611691,Exam Preparation and Tutoring,CANCLD,1,30/9/2020,10/2/2009,2010
190,812990,All Other Personal Services,CANCLD,0,30/9/2020,10/2/2009,2010
191,441110,New Car Dealers,PIF,0,30/9/2020,10/2/2009,2010
192,112320,Broilers and Other Meat Type,PIF,0,30/9/2020,10/2/2009,2010
193,541430,Graphic Design Services,PIF,0,30/9/2020,10/2/2009,2010
194,541110,Offices of Lawyers,PIF,1,30/9/2020,10/2/2009,2010
195,811121,Automotive Body  Paint  and Interior Repair and Maintenance,CANCLD,1,30/9/2020,10/2/2009,2010
196,621610,Home Health Care Services,PIF,1,30/9/2020,10/2/2009,2010
197,541330,Engineering Services,PIF,0,30/9/2020,10/2/2009,2010
198,812112,Beauty Salons,PIF,0,30/9/2020,10/2/2009,2010
199,445120,Convenience Stores,EXEMPT,0,30/9/2020,10/2/2009,2010
200,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),CANCLD,0,30/9/2020,10/2/2009,2010
201,541614,Process  Physical Distribution  and Logistics Consulting Services,PIF,1,30/9/2020,10/2/2009,2010
202,541618,Other Management Consulting Services,PIF,1,30/9/2020,10/2/2009,2010
203,423450,Medical  Dental  and Hospital Equipment and Supplies Merchant Wholesal,PIF,1,30/9/2020,10/2/2009,2010
204,447110,Gasoline Stations with Convenience Stores,PIF,0,30/9/2020,10/2/2009,2010
205,561730,Landscaping Services,PIF,1,30/9/2020,10/2/2009,2010
206,447110,Gasoline Stations with Convenience Stores,CANCLD,0,30/9/2020,10/2/2009,2010
207,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
208,441310,Automotive Parts and Accessories Stores,PIF,0,30/9/2020,10/2/2009,2010
209,238210,Electrical Contractors,PIF,1,30/9/2020,10/2/2009,2010
210,541410,Interior Design Services,PIF,0,30/9/2020,10/2/2009,2010
211,323117,Books Printing,PIF,0,30/9/2020,10/2/2009,2010
212,333513,Machine Tool (Metal Forming Types) Manufacturing,PIF,1,30/9/2020,10/2/2009,2010
213,623312,Homes for the Elderly,EXEMPT,0,30/9/2020,10/2/2009,2010
214,624410,Child Day Care Services,PIF,0,30/9/2020,10/2/2009,2010
215,446199,All Other Health and Personal Care Stores,PIF,1,30/9/2020,10/2/2009,2010
216,337110,Wood Kitchen Cabinet and Countertop Manufacturing,PIF,0,30/9/2020,10/2/2009,2010
217,238990,All Other Specialty Trade Contractors,PIF,1,30/9/2020,10/2/2009,2010
218,811121,Automotive Body  Paint  and Interior Repair and Maintenance,EXEMPT,0,30/9/2020,10/2/2009,2010
219,112340,Poultry Hatcheries,CHGOFF,0,30/9/2020,10/2/2009,2010
220,452990,All Other General Merchandise Stores,PIF,0,30/9/2020,10/2/2009,2010
221,622210,Psychiatric and Substance Abuse Hospitals,PIF,1,30/9/2020,10/2/2009,2010
222,332312,Fabricated Structural Metal Manufacturing,PIF,0,30/9/2020,10/2/2009,2010
223,621999,All Other Miscellaneous Ambulatory Health Care Services,PIF,0,30/9/2020,10/2/2009,2010
224,811192,Car Washes,PIF,0,30/9/2020,10/2/2009,2010
225,238330,Flooring Contractors,PIF,1,30/9/2020,10/2/2009,2010
226,561612,Security Guards and Patrol Services,PIF,1,30/9/2020,10/2/2009,2010
227,624410,Child Day Care Services,PIF,0,30/9/2020,10/2/2009,2010
228,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,EXEMPT,0,30/9/2020,10/2/2009,2010
229,623312,Homes for the Elderly,CHGOFF,0,30/9/2020,10/2/2009,2010
230,812210,Funeral Homes and Funeral Services,PIF,0,30/9/2020,10/2/2009,2010
231,621210,Offices of Dentists,PIF,0,30/9/2020,10/2/2009,2010
232,337110,Wood Kitchen Cabinet and Countertop Manufacturing,CHGOFF,0,30/9/2020,10/2/2009,2010
233,485510,Charter Bus Industry,PIF,0,30/9/2020,10/2/2009,2010
234,541330,Engineering Services,PIF,0,30/9/2020,10/2/2009,2010
235,484220,Specialized Freight (except Used Goods) Trucking  Local,PIF,0,30/9/2020,10/2/2009,2010
236,621610,Home Health Care Services,EXEMPT,0,30/9/2020,10/2/2009,2010
237,621399,Offices of All Other Miscellaneous Health Practitioners,CANCLD,0,30/9/2020,10/2/2009,2010
238,236115,New Single-Family Housing Construction (except Operative Builders),PIF,0,30/9/2020,10/2/2009,2010
239,811310,Commercial and Industrial Machinery and Equipment (except Automotive a,CANCLD,1,30/9/2020,10/2/2009,2010
240,621310,Offices of Chiropractors,PIF,0,30/9/2020,10/2/2009,2010
241,541810,Advertising Agencies,PIF,1,30/9/2020,10/2/2009,2010
242,621310,Offices of Chiropractors,EXEMPT,0,30/9/2020,10/2/2009,2010
243,541850,Display Advertising,PIF,0,30/9/2020,10/2/2009,2010
244,541219,Other Accounting Services,CANCLD,1,30/9/2020,10/2/2009,2010
245,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,CANCLD,1,30/9/2020,10/2/2009,2010
246,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,PIF,0,30/9/2020,10/2/2009,2010
247,811121,Automotive Body  Paint  and Interior Repair and Maintenance,PIF,0,30/9/2020,10/2/2009,2010
248,621610,Home Health Care Services,PIF,1,30/9/2020,10/2/2009,2010
249,448120,Women's Clothing Stores,CHGOFF,1,30/9/2020,10/2/2009,2010
250,621399,Offices of All Other Miscellaneous Health Practitioners,CANCLD,0,30/9/2020,10/2/2009,2010
251,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
252,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Sta,PIF,0,30/9/2020,10/2/2009,2010
253,621111,Offices of Physicians (except Mental Health Specialists),PIF,0,30/9/2020,10/2/2009,2010
254,444190,Other Building Material Dealers,PIF,0,30/9/2020,10/2/2009,2010
255,448120,Women's Clothing Stores,CHGOFF,0,30/9/2020,10/2/2009,2010
256,621310,Offices of Chiropractors,PIF,1,30/9/2020,10/2/2009,2010
257,812910,Pet Care (except Veterinary) Services,PIF,0,30/9/2020,10/2/2009,2010
258,423210,Furniture Merchant Wholesalers,PIF,1,30/9/2020,10/2/2009,2010
259,541921,Photography Studios  Portrait,PIF,0,30/9/2020,10/2/2009,2010
260,811121,Automotive Body  Paint  and Interior Repair and Maintenance,PIF,1,30/9/2020,10/2/2009,2010
261,488999,All Other Support Activities for Transportation,PIF,1,30/9/2020,10/2/2009,2010
262,332322,Sheet Metal Work Manufacturing,PIF,0,30/9/2020,10/2/2009,2010
263,236118,Residential Remodelers,PIF,0,30/9/2020,10/2/2009,2010
264,541512,Computer Systems Design Services,CHGOFF,0,30/9/2020,10/2/2009,2010
265,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),PIF,0,30/9/2020,10/2/2009,2010
266,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,EXEMPT,0,30/9/2020,10/2/2009,2010
267,446191,Food (Health) Supplement Stores,PIF,1,30/9/2020,10/2/2009,2010
268,238210,Electrical Contractors,CANCLD,1,30/9/2020,10/2/2009,2010
269,524210,Insurance Agencies and Brokerages,CHGOFF,0,30/9/2020,10/2/2009,2010
270,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,PIF,1,30/9/2020,10/2/2009,2010
271,488190,Other Support Activities for Air Transportation,PIF,0,30/9/2020,10/2/2009,2010
272,621320,Offices of Optometrists,PIF,0,30/9/2020,10/2/2009,2010
273,445299,All Other Specialty Food Stores,PIF,0,30/9/2020,10/2/2009,2010
274,323110,Commercial Lithographic Printing,PIF,0,30/9/2020,10/2/2009,2010
275,238320,Painting and Wall Covering Contractors,CANCLD,0,30/9/2020,10/2/2009,2010
276,532490,Other Commercial and Industrial Machinery and Equipment Rental and Lea,PIF,0,30/9/2020,10/2/2009,2010
277,339116,Dental Laboratories,EXEMPT,0,30/9/2020,10/2/2009,2010
278,236220,Commercial and Institutional Building Construction,CANCLD,1,30/9/2020,10/2/2009,2010
279,484220,Specialized Freight (except Used Goods) Trucking  Local,PIF,0,30/9/2020,10/2/2009,2010
280,561740,Carpet and Upholstery Cleaning Services,PIF,0,30/9/2020,10/2/2009,2010
281,532230,Video Tape and Disc Rental,PIF,1,30/9/2020,10/2/2009,2010
282,488490,Other Support Activities for Road Transportation,PIF,0,30/9/2020,10/2/2009,2010
283,531110,Lessors of Residential Buildingsv and Dwellings,PIF,0,30/9/2020,10/2/2009,2010
284,541380,Testing Laboratories,PIF,0,30/9/2020,10/2/2009,2010
285,621399,Offices of All Other Miscellaneous Health Practitioners,PIF,0,30/9/2020,10/2/2009,2010
286,488510,Freight Transportation Arrangement,CANCLD,1,30/9/2020,10/2/2009,2010
287,541860,Direct Mail Advertising,CHGOFF,1,30/9/2020,10/2/2009,2010
288,621310,Offices of Chiropractors,PIF,0,30/9/2020,10/2/2009,2010
289,541618,Other Management Consulting Services,PIF,1,30/9/2020,10/2/2009,2010
290,312120,Breweries,PIF,1,30/9/2020,10/2/2009,2010
291,446110,Pharmacies and Drug Stores,PIF,0,30/9/2020,10/2/2009,2010
292,423510,Metal Service Centers and Other Metal Merchant Wholesalers,CANCLD,0,30/9/2020,10/2/2009,2010
293,541213,Tax Preparation Services,PIF,0,30/9/2020,10/2/2009,2010
294,423510,Metal Service Centers and Other Metal Merchant Wholesalers,CANCLD,0,30/9/2020,10/2/2009,2010
295,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
296,541213,Tax Preparation Services,PIF,0,30/9/2020,10/2/2009,2010
297,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/2/2009,2010
298,524210,Insurance Agencies and Brokerages,EXEMPT,0,30/9/2020,10/2/2009,2010
299,238220,Plumbing  Heating  and Air-Conditioning Contractors,CHGOFF,0,30/9/2020,10/2/2009,2010
300,311412,Frozen Specialty Food Manufacturing,CHGOFF,0,30/9/2020,10/2/2009,2010
301,721110,Hotels (except Casino Hotels) and Motels,PIF,1,30/9/2020,10/2/2009,2010
302,238290,Other Building Equipment Contractors,PIF,0,30/9/2020,10/2/2009,2010
303,811111,General Automotive Repair,PIF,1,30/9/2020,10/2/2009,2010
304,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),PIF,0,30/9/2020,10/2/2009,2010
305,713940,Fitness and Recreational Sports Centers,CANCLD,0,30/9/2020,10/5/2009,2010
306,446120,Cosmetics  Beauty Supplies  and Perfume Stores,PIF,0,30/9/2020,10/5/2009,2010
307,492110,Couriers,PIF,0,30/9/2020,10/5/2009,2010
308,722211,Limited-Service Restaurants,PIF,0,30/9/2020,10/5/2009,2010
309,488410,Motor Vehicle Towing,PIF,0,30/9/2020,10/5/2009,2010
310,812320,Drycleaning and Laundry Services (except Coin-Operated),PIF,0,30/9/2020,10/5/2009,2010
311,541611,Administrative Management and General Management Consulting Services,PIF,0,30/9/2020,10/5/2009,2010
312,451110,Sporting Goods Stores,CHGOFF,0,30/9/2020,10/5/2009,2010
313,561431,Private Mail Centers,PIF,0,30/9/2020,10/5/2009,2010
314,713990,All Other Amusement and Recreation Industries,PIF,0,30/9/2020,10/5/2009,2010
315,624410,Child Day Care Services,PIF,1,30/9/2020,10/5/2009,2010
316,811111,General Automotive Repair,CANCLD,1,30/9/2020,10/5/2009,2010
317,621310,Offices of Chiropractors,PIF,0,30/9/2020,10/5/2009,2010
318,811111,General Automotive Repair,PIF,0,30/9/2020,10/5/2009,2010
319,238220,Plumbing  Heating  and Air-Conditioning Contractors,PIF,1,30/9/2020,10/5/2009,2010
