LoanTransID,BankGrossApproval,SBAGuaranteedApproval,FirstDisbursementDate,InitialInterestRate,TermInMonths,PaidInFullDate,LoanBorrID,BankID,LoanDetailID,LoanProgID
118,17000,8500,11/9/2010,9.25,96,10/31/2018,LB118,118,118,LP118
119,41400,37260,12/1/2010,5.75,120,11/30/2012,LB119,119,119,LP119
120,30000,15000,11/9/2010,5,131,11/30/2017,LB120,120,120,LP120
121,50000,25000,12/1/2010,6.25,84,12/31/2017,LB121,121,121,LP121
122,500000,250000,11/9/2010,4.25,84,1/31/2018,LB122,122,122,LP122
123,25000,12500,11/9/2010,8.5,84,2/28/2018,LB123,123,123,LP123
124,100000,50000,11/10/2010,7.75,84,12/31/2017,LB124,124,124,LP124
125,166000,149400,11/10/2010,5.25,60,11/30/2015,LB125,125,125,LP125
126,35000,17500,11/10/2010,9.75,48,5/31/2016,LB126,126,126,LP126
127,10000,5000,11/10/2010,9.25,84,9/30/2017,LB127,127,127,LP127
128,50000,25000,1/1/2011,6.9,84,9/30/2014,LB128,128,128,LP128
129,50000,25000,11/10/2010,6.75,84,11/30/2013,LB129,129,129,LP129
130,20000,10000,11/10/2010,8.15,9,4/30/2015,LB130,130,130,LP130
131,1438700,1294830,11/10/2010,6,120,11/30/2016,LB131,131,131,LP131
132,50000,25000,11/10/2010,7.5,84,3/31/2014,LB132,132,132,LP132
133,25000,12500,12/1/2010,7.75,60,6/30/2014,LB133,133,133,LP133
134,50000,25000,5/1/2011,8.1,84,12/31/2011,LB134,134,134,LP134
135,35000,17500,11/10/2010,5.2,84,11/30/2015,LB135,135,135,LP135
136,1800000,1620000,3/1/2011,5.75,120,2/28/2014,LB136,136,136,LP136
137,623200,560880,12/1/2010,6.95,252,11/30/2018,LB137,137,137,LP137
138,15000,7500,3/1/2011,8.1,84,12/31/2013,LB138,138,138,LP138
139,2400000,2160000,11/10/2010,5.5,300,8/31/2014,LB139,139,139,LP139
140,150000,75000,12/1/2010,4.65,84,11/30/2013,LB140,140,140,LP140
141,638000,574200,2/1/2011,6,132,2/29/2020,LB141,141,141,LP141
142,5000,4500,11/10/2010,7.75,120,10/31/2018,LB142,142,142,LP142
143,150000,75000,12/1/2010,6.75,120,4/30/2017,LB143,143,143,LP143
144,50000,25000,11/10/2010,9.25,84,5/31/2016,LB144,144,144,LP144
145,25000,12500,12/6/2010,6,119,5/31/2018,LB145,145,145,LP145
146,25000,12500,1/1/2011,8.35,84,6/30/2012,LB146,146,146,LP146
147,121900,109710,1/1/2011,6,120,11/30/2018,LB147,147,147,LP147
148,100000,50000,1/1/2011,5.25,97,3/31/2014,LB148,148,148,LP148
149,2590000,2331000,4/1/2011,5.5,300,8/31/2014,LB149,149,149,LP149
150,817000,735300,7/1/2011,5.25,120,10/31/2014,LB150,150,150,LP150
151,100000,50000,1/1/2011,5,84,5/31/2013,LB151,151,151,LP151
152,275000,137500,2/1/2011,6,126,12/31/2015,LB152,152,152,LP152
153,34000,30600,11/10/2010,2.57,84,1/31/2018,LB153,153,153,LP153
154,400000,200000,1/1/2011,5,73,7/31/2018,LB154,154,154,LP154
155,150000,135000,12/1/2010,6,84,3/31/2014,LB155,155,155,LP155
156,750000,675000,11/10/2010,5.5,66,10/31/2011,LB156,156,156,LP156
157,200000,100000,11/10/2010,4.25,13,12/31/2011,LB157,157,157,LP157
158,74000,37000,12/1/2010,4.85,60,11/30/2015,LB158,158,158,LP158
159,1000000,500000,12/1/2010,5.5,60,9/30/2012,LB159,159,159,LP159
160,1000000,900000,2/1/2011,6,300,9/30/2015,LB160,160,160,LP160
161,400000,200000,5/1/2011,5.5,84,7/31/2019,LB161,161,161,LP161
162,592500,533250,12/1/2010,5.5,300,8/31/2016,LB162,162,162,LP162
163,75000,67500,3/1/2011,6,84,9/30/2013,LB163,163,163,LP163
164,4680000,4212000,11/10/2010,5.25,246,9/30/2015,LB164,164,164,LP164
165,45000,22500,12/1/2010,6.25,24,5/31/2013,LB165,165,165,LP165
166,175000,157500,3/1/2011,6,84,10/31/2016,LB166,166,166,LP166
167,500000,450000,12/1/2010,5.25,120,11/30/2015,LB167,167,167,LP167
168,60000,30000,11/10/2010,5.5,13,2/29/2012,LB168,168,168,LP168
169,115000,103500,12/1/2010,6,180,2/28/2019,LB169,169,169,LP169
170,600000,300000,11/10/2010,5.95,69,9/30/2015,LB170,170,170,LP170
171,30000,15000,1/1/2011,6,84,7/31/2015,LB171,171,171,LP171
172,15000,7500,12/1/2010,7.25,84,1/31/2015,LB172,172,172,LP172
173,150000,127500,2/1/2011,7.25,84,4/30/2014,LB173,173,173,LP173
174,786600,707940,11/10/2010,7,300,10/31/2016,LB174,174,174,LP174
175,350000,175000,3/1/2011,6.5,60,12/31/2015,LB175,175,175,LP175
176,5000,4500,11/10/2010,7.75,120,11/30/2013,LB176,176,176,LP176
177,50000,25000,11/10/2010,6.75,36,10/31/2012,LB177,177,177,LP177
178,50500,42925,11/10/2010,7.5,82,9/30/2017,LB178,178,178,LP178
179,100000,50000,11/10/2010,4.5,60,12/31/2015,LB179,179,179,LP179
180,200000,180000,2/1/2011,6,84,11/30/2013,LB180,180,180,LP180
181,200000,180000,2/1/2011,5.75,179,5/31/2013,LB181,181,181,LP181
182,65000,58500,12/1/2010,5.5,84,1/31/2014,LB182,182,182,LP182
183,606700,546030,11/10/2010,4.98,120,6/30/2013,LB183,183,183,LP183
184,25000,22500,11/10/2010,8,84,12/31/2017,LB184,184,184,LP184
185,40000,20000,12/1/2010,5.5,120,11/30/2012,LB185,185,185,LP185
186,612000,550800,12/1/2010,6,300,8/31/2014,LB186,186,186,LP186
187,133000,119700,12/1/2010,6,72,9/30/2016,LB187,187,187,LP187
188,50000,25000,11/10/2010,5.25,84,5/31/2016,LB188,188,188,LP188
189,25000,12500,12/1/2010,6,60,12/31/2013,LB189,189,189,LP189
190,20000,10000,1/1/2011,6.25,84,6/30/2015,LB190,190,190,LP190
191,125000,112500,6/1/2011,6,110,3/31/2019,LB191,191,191,LP191
192,250000,225000,11/10/2010,6.75,84,11/30/2017,LB192,192,192,LP192
193,20000,10000,4/1/2011,9.25,72,1/31/2015,LB193,193,193,LP193
194,275000,247500,1/1/2011,6,120,12/31/2012,LB194,194,194,LP194
195,250000,225000,12/1/2010,6,120,7/31/2016,LB195,195,195,LP195
196,165000,148500,12/1/2010,6,120,5/31/2013,LB196,196,196,LP196
197,20000,18000,12/1/2010,6,60,2/29/2016,LB197,197,197,LP197
198,225000,202500,11/10/2010,5.75,121,9/30/2014,LB198,198,198,LP198
199,30000,15000,11/10/2010,7,26,9/30/2013,LB199,199,199,LP199
200,10000,9000,11/10/2010,7.5,120,7/31/2017,LB200,200,200,LP200
201,570000,513000,11/10/2010,6.45,300,3/31/2020,LB201,201,201,LP201
202,50000,25000,3/1/2011,5.25,84,8/31/2011,LB202,202,202,LP202
203,112000,56000,11/10/2010,5.5,36,9/30/2013,LB203,203,203,LP203
204,1680000,1512000,2/1/2011,6,84,8/31/2017,LB204,204,204,LP204
205,40000,20000,11/10/2010,6,84,5/31/2014,LB205,205,205,LP205
206,24400,21960,11/10/2010,8.55,60,2/29/2012,LB206,206,206,LP206
207,70000,63000,1/1/2011,5.25,84,1/31/2018,LB207,207,207,LP207
208,200000,100000,11/10/2010,5.25,84,4/30/2013,LB208,208,208,LP208
209,350000,315000,12/1/2010,6,84,1/31/2015,LB209,209,209,LP209
210,254700,229230,2/1/2011,6,120,7/31/2019,LB210,210,210,LP210
211,10000,5000,12/1/2010,3.75,84,5/31/2013,LB211,211,211,LP211
212,244700,220230,1/1/2011,6,120,12/31/2018,LB212,212,212,LP212
213,140000,126000,1/1/2011,5.25,120,1/31/2016,LB213,213,213,LP213
214,215000,193500,12/1/2010,5.25,84,5/31/2015,LB214,214,214,LP214
215,750000,675000,5/1/2011,6,120,6/30/2018,LB215,215,215,LP215
216,1050000,945000,12/1/2010,7.4,84,11/30/2013,LB216,216,216,LP216
217,540000,486000,11/10/2010,5.75,300,2/28/2015,LB217,217,217,LP217
218,30000,15000,12/1/2010,6,84,5/31/2019,LB218,218,218,LP218
219,120000,108000,8/1/2011,6,84,3/31/2017,LB219,219,219,LP219
220,10800,5400,11/10/2010,9.75,24,11/30/2012,LB220,220,220,LP220
221,58400,29200,11/10/2010,6.92,120,8/31/2018,LB221,221,221,LP221
222,15000,7500,4/1/2011,9.75,84,11/30/2012,LB222,222,222,LP222
223,51000,45900,12/1/2010,6,84,12/31/2017,LB223,223,223,LP223
224,65000,32500,9/1/2012,7.25,84,1/31/2014,LB224,224,224,LP224
225,200000,180000,11/10/2010,6,120,2/28/2019,LB225,225,225,LP225
226,60000,30000,1/1/2011,5.25,84,3/31/2017,LB226,226,226,LP226
227,239000,215100,12/1/2010,6,120,12/31/2016,LB227,227,227,LP227
228,25000,12500,12/1/2010,6.75,84,7/31/2016,LB228,228,228,LP228
229,140000,126000,1/1/2011,6,87,6/30/2011,LB229,229,229,LP229
230,30000,15000,2/1/2011,4.5,84,10/31/2014,LB230,230,230,LP230
231,26000,13000,11/10/2010,7.25,60,10/31/2013,LB231,231,231,LP231
232,65000,32500,4/1/2011,3.25,61,4/30/2016,LB232,232,232,LP232
233,25000,12500,2/1/2011,8.15,84,8/31/2016,LB233,233,233,LP233
234,25000,12500,4/1/2011,5.85,84,10/31/2018,LB234,234,234,LP234
235,926300,833670,11/10/2010,3.75,300,7/31/2016,LB235,235,235,LP235
236,25000,12500,7/1/2011,5.35,84,7/31/2017,LB236,236,236,LP236
237,100100,50050,11/10/2010,6.05,119,10/31/2017,LB237,237,237,LP237
238,500000,450000,11/10/2010,5.5,120,4/30/2018,LB238,238,238,LP238
239,300000,270000,12/1/2010,5.25,3,3/31/2011,LB239,239,239,LP239
240,10000,5000,12/1/2010,9.75,84,5/31/2018,LB240,240,240,LP240
241,25000,12500,8/1/2013,8.35,84,8/31/2018,LB241,241,241,LP241
242,20000,10000,11/10/2010,7,60,9/30/2013,LB242,242,242,LP242
243,1655000,1489500,1/1/2011,6.82,120,3/31/2013,LB243,243,243,LP243
244,300000,150000,11/10/2010,4.4,84,12/31/2013,LB244,244,244,LP244
245,1050000,945000,1/1/2011,6,120,3/31/2020,LB245,245,245,LP245
246,100000,50000,12/1/2010,7.75,84,8/31/2012,LB246,246,246,LP246
247,10000,5000,11/10/2010,6.85,72,3/31/2013,LB247,247,247,LP247
248,25000,12500,9/1/2011,9.75,84,11/30/2017,LB248,248,248,LP248
249,75100,37550,11/10/2010,7.25,84,11/30/2017,LB249,249,249,LP249
250,25000,12500,11/10/2010,8.35,84,12/31/2013,LB250,250,250,LP250
251,600000,540000,12/1/2010,4.75,120,8/31/2020,LB251,251,251,LP251
252,65000,32500,7/1/2011,7.75,72,3/31/2016,LB252,252,252,LP252
253,168000,151200,11/10/2010,5.5,60,12/31/2014,LB253,253,253,LP253
254,453800,408420,12/1/2010,6,120,8/31/2019,LB254,254,254,LP254
255,205000,184500,12/1/2010,6,120,6/30/2015,LB255,255,255,LP255
256,150000,135000,2/1/2011,6,84,4/30/2013,LB256,256,256,LP256
257,100000,50000,12/1/2010,5.75,84,10/31/2018,LB257,257,257,LP257
258,155000,77500,12/1/2010,4.5,84,9/30/2013,LB258,258,258,LP258
259,800000,720000,11/10/2010,6,120,5/31/2015,LB259,259,259,LP259
260,35000,17500,11/10/2010,5.5,36,4/30/2014,LB260,260,260,LP260
261,35000,17500,11/10/2010,6.25,60,9/30/2014,LB261,261,261,LP261
262,200000,180000,11/10/2010,5.5,60,12/31/2015,LB262,262,262,LP262
263,65500,32750,12/1/2010,7.75,60,9/30/2013,LB263,263,263,LP263
264,33400,16700,11/10/2010,7.2,84,3/31/2014,LB264,264,264,LP264
265,1358000,1222200,1/1/2011,5.75,206,9/30/2018,LB265,265,265,LP265
266,125000,62500,3/1/2011,5.25,84,1/31/2018,LB266,266,266,LP266
267,270000,243000,10/1/2012,6,120,3/31/2018,LB267,267,267,LP267
268,30000,15000,11/10/2010,6.75,49,12/31/2014,LB268,268,268,LP268
269,95000,47500,12/1/2010,6,120,10/31/2017,LB269,269,269,LP269
270,25000,12500,12/1/2010,8.35,21,12/31/2016,LB270,270,270,LP270
271,225900,203310,4/1/2011,6,192,6/30/2015,LB271,271,271,LP271
272,400000,200000,1/1/2011,4,84,6/30/2019,LB272,272,272,LP272
273,25000,12500,12/1/2010,8.35,84,12/31/2013,LB273,273,273,LP273
274,357000,321300,12/1/2010,5.75,180,4/30/2020,LB274,274,274,LP274
275,164000,147600,9/1/2011,7,120,5/31/2018,LB275,275,275,LP275
276,15000,7500,11/10/2010,7.09,84,4/30/2019,LB276,276,276,LP276
277,30600,15300,11/10/2010,8.4,60,11/30/2015,LB277,277,277,LP277
278,300000,270000,11/10/2010,5.5,120,9/30/2012,LB278,278,278,LP278
279,50000,25000,3/1/2011,6.3,84,1/31/2017,LB279,279,279,LP279
280,50000,45000,11/10/2010,7,84,12/31/2014,LB280,280,280,LP280
281,150000,75000,6/1/2011,4.62,84,12/31/2013,LB281,281,281,LP281
282,500000,250000,4/1/2011,4.49,84,2/29/2012,LB282,282,282,LP282
283,34000,17000,12/1/2010,7.4,84,10/31/2013,LB283,283,283,LP283
284,100000,50000,12/1/2010,6,84,1/31/2014,LB284,284,284,LP284
285,160000,144000,1/1/2011,6,84,1/31/2013,LB285,285,285,LP285
286,1080000,972000,12/1/2010,4.75,66,6/30/2016,LB286,286,286,LP286
287,5000,4500,11/10/2010,7.75,120,11/30/2016,LB287,287,287,LP287
288,275000,247500,11/10/2010,6,108,2/28/2018,LB288,288,288,LP288
289,20000,10000,11/10/2010,5.25,29,12/31/2012,LB289,289,289,LP289
290,20000,10000,9/1/2011,6.75,84,12/31/2013,LB290,290,290,LP290
291,50000,25000,11/10/2010,7.25,84,7/31/2015,LB291,291,291,LP291
292,250000,225000,7/1/2011,6,84,7/31/2018,LB292,292,292,LP292
293,250000,225000,11/10/2010,6,84,2/28/2014,LB293,293,293,LP293
294,35000,17500,11/10/2010,7.25,84,11/30/2016,LB294,294,294,LP294
295,2000000,1800000,3/1/2011,6,300,6/30/2018,LB295,295,295,LP295
296,25000,12500,12/1/2010,4.75,84,12/31/2017,LB296,296,296,LP296
297,20000,10000,12/1/2010,8.35,84,8/31/2015,LB297,297,297,LP297
298,25000,12500,12/1/2010,9,84,11/30/2017,LB298,298,298,LP298
299,15000,7500,1/1/2011,8,84,5/31/2013,LB299,299,299,LP299
300,32400,16200,11/10/2010,8.6,60,6/30/2013,LB300,300,300,LP300
301,40000,20000,11/10/2010,8.75,84,11/30/2012,LB301,301,301,LP301
302,100000,50000,12/1/2010,6,84,10/31/2014,LB302,302,302,LP302
303,75000,37500,12/1/2010,6.5,60,1/31/2015,LB303,303,303,LP303
304,25000,12500,12/1/2010,6,72,11/30/2016,LB304,304,304,LP304
305,200000,100000,12/1/2010,5.75,84,1/31/2017,LB305,305,305,LP305
306,50000,25000,5/1/2011,5.5,84,3/31/2013,LB306,306,306,LP306
307,350000,175000,11/10/2010,5,71,10/31/2016,LB307,307,307,LP307
308,75000,37500,2/1/2011,5.75,36,7/31/2014,LB308,308,308,LP308
309,460000,414000,11/10/2010,6,303,2/28/2019,LB309,309,309,LP309
310,110000,55000,11/10/2010,5.85,60,2/28/2015,LB310,310,310,LP310
311,153900,138510,1/1/2011,5.5,104,7/31/2019,LB311,311,311,LP311
312,48000,24000,12/1/2010,9,97,6/30/2018,LB312,312,312,LP312
313,150000,75000,12/1/2010,5.25,84,5/31/2019,LB313,313,313,LP313
314,325000,292500,12/1/2010,6,300,7/31/2016,LB314,314,314,LP314
315,32950,29655,1/1/2011,7,48,7/31/2012,LB315,315,315,LP315
316,50000,25000,12/3/2010,5.25,84,12/31/2017,LB316,316,316,LP316
317,1170000,1053000,12/1/2010,6.99,300,10/31/2016,LB317,317,317,LP317
318,394200,354780,11/11/2010,6.99,300,5/31/2014,LB318,318,318,LP318
319,95000,85500,12/1/2010,7.32,84,2/29/2016,LB319,319,319,LP319
320,764000,687600,11/11/2010,6,306,9/30/2016,LB320,320,320,LP320
321,600000,540000,11/11/2010,6,120,6/30/2018,LB321,321,321,LP321
322,500000,450000,12/1/2010,6.5,120,3/31/2015,LB322,322,322,LP322
323,100000,50000,11/11/2010,6.75,60,9/30/2015,LB323,323,323,LP323
324,100000,50000,1/1/2011,5.5,75,4/30/2014,LB324,324,324,LP324
325,150000,75000,12/1/2010,4.5,84,11/30/2017,LB325,325,325,LP325
326,42000,37800,12/1/2010,4.5,36,12/31/2013,LB326,326,326,LP326
327,25000,12500,11/11/2010,5.25,84,12/31/2012,LB327,327,327,LP327
328,300000,270000,1/1/2011,6,240,1/31/2020,LB328,328,328,LP328
329,100000,50000,11/11/2010,4.75,84,1/31/2013,LB329,329,329,LP329
330,50000,45000,11/11/2010,6.5,84,12/31/2011,LB330,330,330,LP330
331,270000,243000,1/1/2011,5.5,144,5/31/2017,LB331,331,331,LP331
332,350000,175000,11/11/2010,4.25,84,6/30/2013,LB332,332,332,LP332
333,35000,17500,12/1/2010,6.49,60,9/30/2014,LB333,333,333,LP333
334,606000,545400,11/1/2011,6,300,12/31/2014,LB334,334,334,LP334
335,35000,17500,2/1/2011,6,84,5/31/2013,LB335,335,335,LP335
336,21900,10950,11/10/2010,7.25,36,11/30/2013,LB336,336,336,LP336
337,25000,12500,1/1/2012,8.35,84,9/30/2012,LB337,337,337,LP337
338,720000,648000,12/1/2010,5.75,84,6/30/2016,LB338,338,338,LP338
339,15000,7500,12/1/2010,6.75,84,10/31/2017,LB339,339,339,LP339
340,35000,17500,1/1/2011,5.75,60,10/31/2013,LB340,340,340,LP340
341,25000,12500,12/1/2010,3.75,72,12/31/2016,LB341,341,341,LP341
342,20900,10450,11/12/2010,9.1,84,11/30/2017,LB342,342,342,LP342
343,2200000,1980000,2/1/2011,4.5,120,12/31/2017,LB343,343,343,LP343
344,50000,25000,11/12/2010,6.9,84,4/30/2017,LB344,344,344,LP344
345,140000,126000,4/1/2011,6,306,10/31/2019,LB345,345,345,LP345
346,20000,17000,2/1/2011,2.82,24,5/31/2012,LB346,346,346,LP346
347,30000,27000,1/1/2011,6.5,60,11/30/2015,LB347,347,347,LP347
348,5000,4500,11/12/2010,7.75,120,3/31/2015,LB348,348,348,LP348
349,40000,20000,7/1/2011,5.5,42,4/30/2014,LB349,349,349,LP349
350,105000,94500,12/1/2010,6,120,2/29/2020,LB350,350,350,LP350
